Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Sep 2005,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,September 1,"7,545","7,721",-2.3
Daily Visitation,September 2,"9,515","7,549",26.0
Daily Visitation,September 3,"15,018","9,063",65.7
Daily Visitation,September 4,"15,800","14,740",7.2
Daily Visitation,September 5,"9,159","20,912",-56.2
Daily Visitation,September 6,"7,247","13,090",-44.6
Daily Visitation,September 7,"7,894","8,686",-9.1
Daily Visitation,September 8,"7,627","9,478",-19.5
Daily Visitation,September 9,"8,258","9,076",-9.0
Daily Visitation,September 10,"9,367","9,699",-3.4
Daily Visitation,September 11,"8,988","11,175",-19.6
Daily Visitation,September 12,"8,221","10,135",-18.9
Daily Visitation,September 13,"8,709","9,564",-8.9
Daily Visitation,September 14,"8,965","8,379",7.0
Daily Visitation,September 15,"8,200","9,655",-15.1
Daily Visitation,September 16,"7,798","8,321",-6.3
Daily Visitation,September 17,"8,253","8,575",-3.8
Daily Visitation,September 18,"7,392","10,099",-26.8
Daily Visitation,September 19,"7,631","8,406",-9.2
Daily Visitation,September 20,"7,613","7,590",0.3
Daily Visitation,September 21,"6,254","6,067",3.1
Daily Visitation,September 22,"6,355","7,042",-9.8
Daily Visitation,September 23,"5,867","6,417",-8.6
Daily Visitation,September 24,"6,180","7,609",-18.8
Daily Visitation,September 25,"5,695","8,252",-31.0
Daily Visitation,September 26,"6,097","6,656",-8.4
Daily Visitation,September 27,"5,906","5,703",3.6
Daily Visitation,September 28,"5,257","7,067",-25.6
Daily Visitation,September 29,"5,310","5,820",-8.8
Daily Visitation,September 30,"5,519","4,721",16.9
Daily Visitation,September 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"209,131","235,202",-11.1,"1,910,511","1,895,363",0.8,"2,052,969"
Non-Recreation Visitors,"28,518","32,073",-11.1,"667,211","657,261",1.5,"726,391"
Total Visitors,"237,649","267,275",-11.1,"2,577,723","2,552,624",1.0,"2,779,360"

