Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Dec 2012,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,December 1,"1,598",969,64.9
Daily Visitation,December 2,"1,432",835,71.5
Daily Visitation,December 3,996,993,0.3
Daily Visitation,December 4,"1,147",618,85.6
Daily Visitation,December 5,"1,328",580,129.0
Daily Visitation,December 6,"1,004",966,3.9
Daily Visitation,December 7,"1,026",850,20.7
Daily Visitation,December 8,774,"1,023",-24.3
Daily Visitation,December 9,654,805,-18.8
Daily Visitation,December 10,861,962,-10.5
Daily Visitation,December 11,912,920,-0.9
Daily Visitation,December 12,950,734,29.4
Daily Visitation,December 13,961,764,25.8
Daily Visitation,December 14,936,947,-1.2
Daily Visitation,December 15,"1,271",896,41.9
Daily Visitation,December 16,"1,007","1,093",-7.9
Daily Visitation,December 17,853,"1,514",-43.7
Daily Visitation,December 18,"1,023","1,317",-22.3
Daily Visitation,December 19,"1,109",928,19.5
Daily Visitation,December 20,918,"1,171",-21.6
Daily Visitation,December 21,"1,352",804,68.2
Daily Visitation,December 22,"1,790",928,92.9
Daily Visitation,December 23,"1,325","1,228",7.9
Daily Visitation,December 24,772,834,-7.4
Daily Visitation,December 25,432,612,-29.4
Daily Visitation,December 26,"1,452","1,553",-6.5
Daily Visitation,December 27,"1,239","1,790",-30.8
Daily Visitation,December 28,"1,336","2,245",-40.5
Daily Visitation,December 29,"2,057","1,798",14.4
Daily Visitation,December 30,"1,872","2,213",-15.4
Daily Visitation,December 31,"1,366","1,479",-7.6

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"24,679","23,725",4.0,"2,185,446","2,081,723",5.0,"149,092"
Non-Recreation Visitors,"11,088","10,659",4.0,"760,103","718,297",5.8,"61,542"
Total Visitors,"35,767","34,384",4.0,"2,945,550","2,800,020",5.2,"210,633"

