Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Oct 1998,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,October 1,"4,936","3,815",29.4
Daily Visitation,October 2,"3,324","3,714",-10.5
Daily Visitation,October 3,"4,561","4,213",8.3
Daily Visitation,October 4,"4,293","5,603",-23.4
Daily Visitation,October 5,"3,859","4,780",-19.3
Daily Visitation,October 6,"4,709","3,543",32.9
Daily Visitation,October 7,"4,150","3,909",6.2
Daily Visitation,October 8,"4,139","3,085",34.2
Daily Visitation,October 9,"4,211","3,707",13.6
Daily Visitation,October 10,"5,910","3,838",54.0
Daily Visitation,October 11,"4,226","5,365",-21.2
Daily Visitation,October 12,"3,975","2,910",36.6
Daily Visitation,October 13,"3,682","2,772",32.8
Daily Visitation,October 14,"3,387","2,726",24.2
Daily Visitation,October 15,"3,185","2,635",20.9
Daily Visitation,October 16,"2,545","3,004",-15.3
Daily Visitation,October 17,"3,964","3,526",12.4
Daily Visitation,October 18,"3,410","3,883",-12.2
Daily Visitation,October 19,"2,515","3,119",-19.4
Daily Visitation,October 20,"2,510","1,885",33.2
Daily Visitation,October 21,"2,237","2,225",0.5
Daily Visitation,October 22,"2,237","1,995",12.1
Daily Visitation,October 23,"1,865","1,470",26.9
Daily Visitation,October 24,"2,068",877,135.8
Daily Visitation,October 25,"2,214","1,420",55.9
Daily Visitation,October 26,"1,425","1,420",0.4
Daily Visitation,October 27,"1,684","1,182",42.5
Daily Visitation,October 28,"1,095","1,400",-21.8
Daily Visitation,October 29,"1,480","1,442",2.6
Daily Visitation,October 30,"1,306","1,315",-0.7
Daily Visitation,October 31,"1,585","1,171",35.4

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"71,552","65,089",9.9,"1,979,234","1,715,450",15.4,"71,552"
Non-Recreation Visitors,"25,140","22,869",9.9,"674,527","594,306",13.5,"25,140"
Total Visitors,"96,693","87,958",9.9,"2,653,761","2,309,755",14.9,"96,693"

