Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 2000,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,January 1,"1,116",624,78.8
Daily Visitation,January 2,948,662,43.2
Daily Visitation,January 3,489,585,-16.4
Daily Visitation,January 4,619,463,33.7
Daily Visitation,January 5,667,513,30.0
Daily Visitation,January 6,729,259,181.5
Daily Visitation,January 7,720,436,65.1
Daily Visitation,January 8,"1,056",417,153.2
Daily Visitation,January 9,849,487,74.3
Daily Visitation,January 10,782,573,36.5
Daily Visitation,January 11,556,482,15.4
Daily Visitation,January 12,484,439,10.3
Daily Visitation,January 13,528,520,1.5
Daily Visitation,January 14,715,544,31.4
Daily Visitation,January 15,"1,116",463,141.0
Daily Visitation,January 16,842,926,-9.1
Daily Visitation,January 17,624,597,4.5
Daily Visitation,January 18,693,458,51.3
Daily Visitation,January 19,758,561,35.1
Daily Visitation,January 20,684,600,14.0
Daily Visitation,January 21,906,458,97.8
Daily Visitation,January 22,828,566,46.3
Daily Visitation,January 23,811,504,60.9
Daily Visitation,January 24,552,492,12.2
Daily Visitation,January 25,680,492,38.2
Daily Visitation,January 26,494,408,21.1
Daily Visitation,January 27,410,355,15.5
Daily Visitation,January 28,604,537,12.5
Daily Visitation,January 29,820,691,18.7
Daily Visitation,January 30,751,"1,267",-40.7
Daily Visitation,January 31,559,772,-27.6

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"15,680","12,014",30.5,"15,680","12,014",30.5,"135,764"
Non-Recreation Visitors,"6,720","5,149",30.5,"6,720","5,149",30.5,"56,226"
Total Visitors,"22,400","17,163",30.5,"22,400","17,163",30.5,"191,990"

