Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 2008,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,January 1,871,871,0.0
Daily Visitation,January 2,"1,022",945,8.1
Daily Visitation,January 3,998,963,3.6
Daily Visitation,January 4,"1,108",808,37.1
Daily Visitation,January 5,"1,060",792,33.8
Daily Visitation,January 6,789,748,5.5
Daily Visitation,January 7,772,808,-4.5
Daily Visitation,January 8,844,652,29.4
Daily Visitation,January 9,854,746,14.5
Daily Visitation,January 10,904,727,24.3
Daily Visitation,January 11,"1,106",768,44.0
Daily Visitation,January 12,"1,017",614,65.6
Daily Visitation,January 13,896,703,27.5
Daily Visitation,January 14,772,757,2.0
Daily Visitation,January 15,662,530,24.9
Daily Visitation,January 16,556,676,-17.8
Daily Visitation,January 17,556,672,-17.3
Daily Visitation,January 18,708,645,9.8
Daily Visitation,January 19,739,832,-11.2
Daily Visitation,January 20,484,844,-42.7
Daily Visitation,January 21,681,590,15.4
Daily Visitation,January 22,679,657,3.3
Daily Visitation,January 23,640,751,-14.8
Daily Visitation,January 24,722,801,-9.9
Daily Visitation,January 25,933,945,-1.3
Daily Visitation,January 26,996,861,15.7
Daily Visitation,January 27,867,"1,113",-22.1
Daily Visitation,January 28,609,820,-25.7
Daily Visitation,January 29,688,664,3.6
Daily Visitation,January 30,722,648,11.4
Daily Visitation,January 31,842,556,51.4

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"17,579","16,466",6.8,"17,579","16,466",6.8,"143,985"
Non-Recreation Visitors,"7,534","7,057",6.8,"7,534","7,057",6.8,"59,821"
Total Visitors,"25,113","23,522",6.8,"25,113","23,522",6.8,"203,806"

