Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Mar 2012,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,March 1,"1,279",971,31.7
Daily Visitation,March 2,"1,344",929,44.7
Daily Visitation,March 3,"1,705","1,129",51.0
Daily Visitation,March 4,"1,576","1,087",45.0
Daily Visitation,March 5,"1,489","1,276",16.7
Daily Visitation,March 6,"1,394",977,42.7
Daily Visitation,March 7,"1,088",901,20.8
Daily Visitation,March 8,"1,674",954,75.5
Daily Visitation,March 9,"2,091","1,327",57.6
Daily Visitation,March 10,"3,732","1,321",182.5
Daily Visitation,March 11,"3,239","1,481",118.7
Daily Visitation,March 12,"2,145","2,424",-11.5
Daily Visitation,March 13,"1,932","2,354",-17.9
Daily Visitation,March 14,"2,169","1,748",24.1
Daily Visitation,March 15,"2,170","1,884",15.2
Daily Visitation,March 16,"2,959","2,109",40.3
Daily Visitation,March 17,"4,540","2,102",116.0
Daily Visitation,March 18,"3,240","3,030",6.9
Daily Visitation,March 19,"1,892","4,076",-53.6
Daily Visitation,March 20,"2,262","2,858",-20.9
Daily Visitation,March 21,"2,220","1,985",11.8
Daily Visitation,March 22,"2,598","1,828",42.1
Daily Visitation,March 23,"2,597","1,716",51.3
Daily Visitation,March 24,"4,531","1,708",165.3
Daily Visitation,March 25,"3,940","1,980",99.0
Daily Visitation,March 26,"2,424","1,512",60.3
Daily Visitation,March 27,"3,131","1,710",83.1
Daily Visitation,March 28,"3,102","1,601",93.8
Daily Visitation,March 29,"2,931","2,408",21.7
Daily Visitation,March 30,"3,234","2,410",34.2
Daily Visitation,March 31,"5,003","2,058",143.1

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"53,361","37,430",42.6,"96,796","71,512",35.4,"249,789"
Non-Recreation Visitors,"26,283","18,436",42.6,"47,968","35,454",35.3,"110,309"
Total Visitors,"79,644","55,866",42.6,"144,763","106,966",35.3,"360,098"

