Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Apr 2006,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,April 1,"3,010","2,426",24.1
Daily Visitation,April 2,"1,856","3,467",-46.5
Daily Visitation,April 3,"2,141","3,176",-32.6
Daily Visitation,April 4,"2,007","2,066",-2.9
Daily Visitation,April 5,"2,286","1,541",48.3
Daily Visitation,April 6,"1,863","2,369",-21.4
Daily Visitation,April 7,"2,212","2,251",-1.7
Daily Visitation,April 8,"3,290","2,558",28.6
Daily Visitation,April 9,"2,949","3,307",-10.8
Daily Visitation,April 10,"2,351","1,865",26.1
Daily Visitation,April 11,"2,319","1,706",35.9
Daily Visitation,April 12,"2,610","1,944",34.3
Daily Visitation,April 13,"3,009","2,241",34.3
Daily Visitation,April 14,"3,799","2,170",75.1
Daily Visitation,April 15,"5,270","2,578",104.4
Daily Visitation,April 16,"3,700","3,660",1.1
Daily Visitation,April 17,"2,594","3,852",-32.7
Daily Visitation,April 18,"1,571","2,146",-26.8
Daily Visitation,April 19,"1,633","1,919",-14.9
Daily Visitation,April 20,"2,635","2,196",20.0
Daily Visitation,April 21,"2,842","1,894",50.1
Daily Visitation,April 22,"3,890","3,032",28.3
Daily Visitation,April 23,"2,211","3,984",-44.5
Daily Visitation,April 24,"1,576","3,410",-53.8
Daily Visitation,April 25,"2,741","2,525",8.6
Daily Visitation,April 26,"3,018","2,631",14.7
Daily Visitation,April 27,"3,240","2,418",34.0
Daily Visitation,April 28,"3,306","2,451",34.9
Daily Visitation,April 29,"4,334","3,086",40.4
Daily Visitation,April 30,"3,338","3,171",5.3
Daily Visitation,April 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"52,677","49,175",7.1,"132,416","127,752",3.7,"259,767"
Non-Recreation Visitors,"30,938","28,880",7.1,"70,368","68,004",3.5,"123,266"
Total Visitors,"83,615","78,055",7.1,"202,784","195,756",3.6,"383,033"

