Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Oct 2012,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,October 1,"6,186","7,834",-21.0
Daily Visitation,October 2,"6,586","6,960",-5.4
Daily Visitation,October 3,"5,039","5,863",-14.1
Daily Visitation,October 4,"5,283","6,043",-12.6
Daily Visitation,October 5,"4,810","6,880",-30.1
Daily Visitation,October 6,"7,149","4,630",54.4
Daily Visitation,October 7,"5,964","5,523",8.0
Daily Visitation,October 8,"4,338","5,752",-24.6
Daily Visitation,October 9,"4,198","5,276",-20.4
Daily Visitation,October 10,"4,571","5,760",-20.6
Daily Visitation,October 11,"3,980","4,695",-15.2
Daily Visitation,October 12,"5,007","4,287",16.8
Daily Visitation,October 13,"4,977","4,625",7.6
Daily Visitation,October 14,"4,660","4,273",9.1
Daily Visitation,October 15,"3,738","5,759",-35.1
Daily Visitation,October 16,"3,517","4,256",-17.4
Daily Visitation,October 17,"3,326","3,105",7.1
Daily Visitation,October 18,"3,674","3,856",-4.7
Daily Visitation,October 19,"5,586","3,484",60.3
Daily Visitation,October 20,"5,900","4,025",46.6
Daily Visitation,October 21,"2,979","4,551",-34.5
Daily Visitation,October 22,"2,354","5,114",-54.0
Daily Visitation,October 23,"2,822","3,487",-19.1
Daily Visitation,October 24,"2,057","2,530",-18.7
Daily Visitation,October 25,"2,100","2,300",-8.7
Daily Visitation,October 26,"2,942","2,220",32.5
Daily Visitation,October 27,"3,230","2,267",42.5
Daily Visitation,October 28,"2,462","2,605",-5.5
Daily Visitation,October 29,"2,007","2,660",-24.5
Daily Visitation,October 30,"1,885","2,289",-17.6
Daily Visitation,October 31,"1,646","1,687",-2.4

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"92,485","99,606",-7.1,"2,128,840","2,028,335",5.0,"92,485"
Non-Recreation Visitors,"32,495","34,997",-7.1,"731,056","690,953",5.8,"32,495"
Total Visitors,"124,980","134,603",-7.1,"2,859,896","2,719,289",5.2,"124,980"

