Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: May 2012,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,May 1,"3,468","3,288",5.5
Daily Visitation,May 2,"3,682","3,528",4.4
Daily Visitation,May 3,"4,110","3,699",11.1
Daily Visitation,May 4,"4,514","3,459",30.5
Daily Visitation,May 5,"4,691","3,718",26.2
Daily Visitation,May 6,"7,012","3,938",78.1
Daily Visitation,May 7,"4,504","5,110",-11.9
Daily Visitation,May 8,"4,638","6,320",-26.6
Daily Visitation,May 9,"5,047","3,688",36.8
Daily Visitation,May 10,"4,716","4,531",4.1
Daily Visitation,May 11,"5,220","4,505",15.9
Daily Visitation,May 12,"6,274","4,190",49.7
Daily Visitation,May 13,"7,217","5,691",26.8
Daily Visitation,May 14,"6,536","5,340",22.4
Daily Visitation,May 15,"6,711","6,589",1.9
Daily Visitation,May 16,"6,856","6,213",10.3
Daily Visitation,May 17,"7,000","6,196",13.0
Daily Visitation,May 18,"7,061","6,192",14.0
Daily Visitation,May 19,"8,554","4,706",81.8
Daily Visitation,May 20,"10,132","5,263",92.5
Daily Visitation,May 21,"8,854","7,046",25.7
Daily Visitation,May 22,"8,726","8,066",8.2
Daily Visitation,May 23,"8,556","7,647",11.9
Daily Visitation,May 24,"7,051","5,245",34.4
Daily Visitation,May 25,"8,928","9,423",-5.3
Daily Visitation,May 26,"13,746","8,097",69.8
Daily Visitation,May 27,"21,916","9,541",129.7
Daily Visitation,May 28,"12,547","15,389",-18.5
Daily Visitation,May 29,"10,643","10,223",4.1
Daily Visitation,May 30,"8,483","12,734",-33.4
Daily Visitation,May 31,"10,537","9,938",6.0

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"180,837","151,639",19.3,"336,735","274,172",22.8,"489,729"
Non-Recreation Visitors,"57,106","47,886",19.3,"139,785","113,306",23.4,"202,126"
Total Visitors,"237,943","199,524",19.3,"476,521","387,478",23.0,"691,856"

