Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Nov 2010,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,November 1,"1,887","1,254",50.5
Daily Visitation,November 2,"1,973",735,168.4
Daily Visitation,November 3,"1,666","3,169",-47.4
Daily Visitation,November 4,"2,135","3,169",-32.6
Daily Visitation,November 5,"1,965","1,962",0.2
Daily Visitation,November 6,"3,037","2,184",39.1
Daily Visitation,November 7,"2,362","2,708",-12.8
Daily Visitation,November 8,"1,715","1,957",-12.4
Daily Visitation,November 9,"1,355","1,409",-3.8
Daily Visitation,November 10,"1,463","1,603",-8.7
Daily Visitation,November 11,"1,399","1,976",-29.2
Daily Visitation,November 12,"1,957","1,807",8.3
Daily Visitation,November 13,"2,450","1,412",73.5
Daily Visitation,November 14,"1,515","2,222",-31.8
Daily Visitation,November 15,"1,158","1,677",-30.9
Daily Visitation,November 16,"1,058","1,252",-15.5
Daily Visitation,November 17,"1,185","1,512",-21.6
Daily Visitation,November 18,"1,404","1,525",-7.9
Daily Visitation,November 19,"1,552","1,325",17.1
Daily Visitation,November 20,"1,440","1,493",-3.5
Daily Visitation,November 21,"1,476","1,865",-20.9
Daily Visitation,November 22,925,"1,763",-47.5
Daily Visitation,November 23,"1,053","1,404",-25.0
Daily Visitation,November 24,931,"1,582",-41.2
Daily Visitation,November 25,866,"1,466",-40.9
Daily Visitation,November 26,"2,336","1,341",74.2
Daily Visitation,November 27,"2,168","3,527",-38.5
Daily Visitation,November 28,923,"2,640",-65.0
Daily Visitation,November 29,518,"1,684",-69.2
Daily Visitation,November 30,618,"1,158",-46.6
Daily Visitation,November 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"29,762","35,068",-15.1,"2,311,473","2,243,716",3.0,"131,324"
Non-Recreation Visitors,"16,741","19,726",-15.1,"799,119","766,858",4.2,"52,425"
Total Visitors,"46,503","54,794",-15.1,"3,110,592","3,010,573",3.3,"183,749"

