"","Date","DailyVisits","VisitsLastYear","%ChangeVisits"
"170",1993-06-19,22602,NA,NA
"171",1993-06-20,19157,NA,NA
"172",1993-06-21,19445,NA,NA
"173",1993-06-22,21310,NA,NA
"174",1993-06-23,19032,NA,NA
"175",1993-06-24,18150,NA,NA
"176",1993-06-25,18159,NA,NA
"177",1993-06-26,20035,NA,NA
"178",1993-06-27,21121,NA,NA
"179",1993-06-28,21163,NA,NA
"180",1993-06-29,21947,NA,NA
"181",1993-06-30,20050,NA,NA
"182",1993-07-01,19123,NA,NA
"183",1993-07-02,19508,NA,NA
"184",1993-07-03,27385,NA,NA
"185",1993-07-04,31428,NA,NA
"186",1993-07-05,26738,NA,NA
"187",1993-07-06,24648,NA,NA
"188",1993-07-07,28908,NA,NA
"189",1993-07-08,23889,NA,NA
"190",1993-07-09,22931,NA,NA
"191",1993-07-10,22550,NA,NA
"192",1993-07-11,25881,NA,NA
"193",1993-07-12,25037,NA,NA
"194",1993-07-13,25477,NA,NA
"195",1993-07-14,22744,NA,NA
"196",1993-07-15,22298,NA,NA
"197",1993-07-16,21264,NA,NA
"198",1993-07-17,24618,NA,NA
"199",1993-07-18,26783,NA,NA
"200",1993-07-19,27831,NA,NA
"201",1993-07-20,26587,NA,NA
"202",1993-07-21,24716,NA,NA
"203",1993-07-22,22831,NA,NA
"204",1993-07-23,21929,NA,NA
"205",1993-07-24,22293,NA,NA
"206",1993-07-25,27406,NA,NA
"207",1993-07-26,25261,NA,NA
"208",1993-07-27,26670,NA,NA
"209",1993-07-28,25051,NA,NA
"210",1993-07-29,22140,NA,NA
"211",1993-07-30,21563,NA,NA
"212",1993-07-31,23475,NA,NA
"213",1993-08-01,22309,NA,NA
"214",1993-08-02,24236,NA,NA
"215",1993-08-03,27856,NA,NA
"216",1993-08-04,23631,NA,NA
"217",1993-08-05,22188,NA,NA
"218",1993-08-06,19678,NA,NA
"219",1993-08-07,23886,NA,NA
"220",1993-08-08,28874,NA,NA
"221",1993-08-09,34290,NA,NA
"222",1993-08-10,35295,NA,NA
"223",1993-08-11,32346,NA,NA
"224",1993-08-12,23948,NA,NA
"225",1993-08-13,26415,NA,NA
"226",1993-08-14,24849,NA,NA
"227",1993-08-15,21037,NA,NA
"228",1993-08-16,24990,NA,NA
"229",1993-08-17,22729,NA,NA
"230",1993-08-18,21708,NA,NA
"231",1993-08-19,18760,NA,NA
"232",1993-08-20,18081,NA,NA
"233",1993-08-21,18525,NA,NA
"234",1993-08-22,17492,NA,NA
"235",1993-08-23,16588,NA,NA
"236",1993-08-24,16041,NA,NA
"237",1993-08-25,15672,NA,NA
"238",1993-08-26,13288,NA,NA
"239",1993-08-27,13178,NA,NA
"240",1993-08-28,15147,NA,NA
"241",1993-08-29,12009,NA,NA
"242",1993-08-30,10544,NA,NA
"243",1993-08-31,10427,NA,NA
"244",1993-09-01,8205,NA,NA
"245",1993-09-02,8289,NA,NA
"246",1993-09-03,9745,NA,NA
"247",1993-09-04,15668,NA,NA
"248",1993-09-05,10598,NA,NA
"249",1993-09-06,12862,NA,NA
"250",1993-09-07,8058,NA,NA
"251",1993-09-08,8307,NA,NA
"252",1993-09-09,7765,NA,NA
"253",1993-09-10,8016,NA,NA
"254",1993-09-11,10403,NA,NA
"255",1993-09-12,8950,NA,NA
"256",1993-09-13,6871,NA,NA
"257",1993-09-14,8275,NA,NA
"258",1993-09-15,7896,NA,NA
"259",1993-09-16,7325,NA,NA
"260",1993-09-17,5670,NA,NA
"261",1993-09-18,6328,NA,NA
"262",1993-09-19,8570,NA,NA
"263",1993-09-20,8259,NA,NA
"264",1993-09-21,6741,NA,NA
"265",1993-09-22,6206,NA,NA
"266",1993-09-23,6892,NA,NA
"267",1993-09-24,5616,NA,NA
"268",1993-09-25,5608,NA,NA
"269",1993-09-26,5427,NA,NA
"270",1993-09-27,5033,NA,NA
"271",1993-09-28,4679,NA,NA
"272",1993-09-29,5770,NA,NA
"273",1993-09-30,4232,NA,NA
"274",1993-10-01,4613,NA,NA
"275",1993-10-02,5829,NA,NA
"276",1993-10-03,6442,NA,NA
"277",1993-10-04,5389,NA,NA
"278",1993-10-05,4954,NA,NA
"279",1993-10-06,4937,NA,NA
"280",1993-10-07,3119,NA,NA
"281",1993-10-08,1713,NA,NA
"282",1993-10-09,4235,NA,NA
"283",1993-10-10,5949,NA,NA
"284",1993-10-11,3974,NA,NA
"285",1993-10-12,3255,NA,NA
"286",1993-10-13,3116,NA,NA
"287",1993-10-14,2841,NA,NA
"288",1993-10-15,2992,NA,NA
"289",1993-10-16,2704,NA,NA
"290",1993-10-17,3742,NA,NA
"291",1993-10-18,2566,NA,NA
"292",1993-10-19,2871,NA,NA
"293",1993-10-20,2628,NA,NA
"294",1993-10-21,2587,NA,NA
"295",1993-10-22,2917,NA,NA
"296",1993-10-23,3685,NA,NA
"297",1993-10-24,2837,NA,NA
"298",1993-10-25,1927,NA,NA
"299",1993-10-26,1865,NA,NA
"300",1993-10-27,1746,NA,NA
"301",1993-10-28,1475,NA,NA
"302",1993-10-29,1580,NA,NA
"303",1993-10-30,2102,NA,NA
"304",1993-10-31,1653,NA,NA
"305",1993-11-01,1047,NA,NA
"306",1993-11-02,1551,NA,NA
"307",1993-11-03,1349,NA,NA
"308",1993-11-04,896,NA,NA
"309",1993-11-05,1113,NA,NA
"310",1993-11-06,1898,NA,NA
"311",1993-11-07,1717,NA,NA
"312",1993-11-08,1505,NA,NA
"313",1993-11-09,1205,NA,NA
"314",1993-11-10,1282,NA,NA
"315",1993-11-11,1682,NA,NA
"316",1993-11-12,985,NA,NA
"317",1993-11-13,1088,NA,NA
"318",1993-11-14,785,NA,NA
"319",1993-11-15,928,NA,NA
"320",1993-11-16,1247,NA,NA
"321",1993-11-17,971,NA,NA
"322",1993-11-18,877,NA,NA
"323",1993-11-19,999,NA,NA
"324",1993-11-20,1642,NA,NA
"325",1993-11-21,1792,NA,NA
"326",1993-11-22,434,NA,NA
"327",1993-11-23,526,NA,NA
"328",1993-11-24,482,NA,NA
"329",1993-11-25,396,NA,NA
"330",1993-11-26,720,NA,NA
"331",1993-11-27,1575,NA,NA
"332",1993-11-28,962,NA,NA
"333",1993-11-29,664,NA,NA
"334",1993-11-30,744,NA,NA
"335",1993-12-01,731,NA,NA
"336",1993-12-02,626,NA,NA
"337",1993-12-03,688,NA,NA
"338",1993-12-04,1118,NA,NA
"339",1993-12-05,466,NA,NA
"340",1993-12-06,461,NA,NA
"341",1993-12-07,733,NA,NA
"342",1993-12-08,731,NA,NA
"343",1993-12-09,588,NA,NA
"344",1993-12-10,831,NA,NA
"345",1993-12-11,928,NA,NA
"346",1993-12-12,731,NA,NA
"347",1993-12-13,564,NA,NA
"348",1993-12-14,753,NA,NA
"349",1993-12-15,583,NA,NA
"350",1993-12-16,234,NA,NA
"351",1993-12-17,572,NA,NA
"352",1993-12-18,834,NA,NA
"353",1993-12-19,738,NA,NA
"354",1993-12-20,764,NA,NA
"355",1993-12-21,634,NA,NA
"356",1993-12-22,572,NA,NA
"357",1993-12-23,529,NA,NA
"358",1993-12-24,378,NA,NA
"359",1993-12-25,866,NA,NA
"360",1993-12-26,1471,NA,NA
"361",1993-12-27,1047,NA,NA
"362",1993-12-28,1719,NA,NA
"363",1993-12-29,1563,NA,NA
"364",1993-12-30,1725,NA,NA
"365",1993-12-31,1136,NA,NA
"366",1994-01-01,1288,904,42.5
"367",1994-01-02,993,1132,-12.3
"368",1994-01-03,684,729,-6.2
"369",1994-01-04,640,470,36.2
"370",1994-01-05,530,588,-9.9
"371",1994-01-06,551,523,5.4
"372",1994-01-07,619,645,-4
"373",1994-01-08,602,295,104.1
"374",1994-01-09,717,170,321.8
"375",1994-01-10,566,302,87.4
"376",1994-01-11,728,369,97.3
"377",1994-01-12,662,314,110.8
"378",1994-01-13,480,288,66.7
"379",1994-01-14,481,434,10.8
"380",1994-01-15,593,458,29.5
"381",1994-01-16,513,765,-32.9
"382",1994-01-17,268,753,-64.4
"383",1994-01-18,480,604,-20.5
"384",1994-01-19,525,465,12.9
"385",1994-01-20,592,534,10.9
"386",1994-01-21,823,489,68.3
"387",1994-01-22,1473,523,181.6
"388",1994-01-23,1008,603,67.2
"389",1994-01-24,538,645,-16.6
"390",1994-01-25,590,561,5.2
"391",1994-01-26,507,669,-24.2
"392",1994-01-27,552,511,8
"393",1994-01-28,601,681,-11.7
"394",1994-01-29,592,494,19.8
"395",1994-01-30,432,904,-52.2
"396",1994-01-31,463,943,-50.9
"397",1994-02-01,641,798,-19.7
"398",1994-02-02,548,448,22.3
"399",1994-02-03,669,473,41.4
"400",1994-02-04,912,820,11.2
"401",1994-02-05,1551,977,58.8
"402",1994-02-06,993,1629,-39
"403",1994-02-07,554,1470,-62.3
"404",1994-02-08,487,719,-32.3
"405",1994-02-09,665,722,-7.9
"406",1994-02-10,579,338,71.3
"407",1994-02-11,756,509,48.5
"408",1994-02-12,1324,688,92.4
"409",1994-02-13,1352,1044,29.5
"410",1994-02-14,834,1176,-29.1
"411",1994-02-15,1156,336,244
"412",1994-02-16,917,616,48.9
"413",1994-02-17,1027,498,106.2
"414",1994-02-18,1161,803,44.6
"415",1994-02-19,1437,809,77.6
"416",1994-02-20,1358,957,41.9
"417",1994-02-21,736,470,56.6
"418",1994-02-22,596,518,15.1
"419",1994-02-23,670,765,-12.4
"420",1994-02-24,565,638,-11.4
"421",1994-02-25,747,778,-4
"422",1994-02-26,1355,1008,34.4
"423",1994-02-27,1396,1531,-8.8
"424",1994-02-28,819,1626,-49.6
"425",1994-03-01,988,1049,-5.8
"426",1994-03-02,1271,1176,8.1
"427",1994-03-03,1660,826,101
"428",1994-03-04,2342,1369,71.1
"429",1994-03-05,2730,1271,114.8
"430",1994-03-06,1240,2282,-45.7
"431",1994-03-07,947,2227,-57.5
"432",1994-03-08,1262,1377,-8.4
"433",1994-03-09,1346,921,46.1
"434",1994-03-10,1436,933,53.9
"435",1994-03-11,1642,860,90.9
"436",1994-03-12,2646,1167,126.7
"437",1994-03-13,3626,2080,74.3
"438",1994-03-14,1436,1789,-19.7
"439",1994-03-15,1691,1389,21.7
"440",1994-03-16,1562,708,120.6
"441",1994-03-17,1638,882,85.7
"442",1994-03-18,2755,1195,130.5
"443",1994-03-19,3964,1226,223.3
"444",1994-03-20,2735,2256,21.2
"445",1994-03-21,2124,1519,39.8
"446",1994-03-22,1691,1388,21.8
"447",1994-03-23,1170,1889,-38.1
"448",1994-03-24,1755,1870,-6.1
"449",1994-03-25,1680,1957,-14.2
"450",1994-03-26,2275,1849,23
"451",1994-03-27,1706,2528,-32.5
"452",1994-03-28,1411,1559,-9.5
"453",1994-03-29,1374,1186,15.9
"454",1994-03-30,2080,1170,77.8
"455",1994-03-31,2447,1237,97.8
"456",1994-04-01,3332,1463,127.8
"457",1994-04-02,3931,1679,134.1
"458",1994-04-03,5170,2828,82.8
"459",1994-04-04,677,3283,-79.4
"460",1994-04-05,1842,2078,-11.4
"461",1994-04-06,1910,901,112
"462",1994-04-07,1605,1543,4
"463",1994-04-08,1649,2012,-18
"464",1994-04-09,3196,3150,1.5
"465",1994-04-10,2367,3808,-37.8
"466",1994-04-11,1767,3923,-55
"467",1994-04-12,1914,1385,38.2
"468",1994-04-13,2232,1095,103.8
"469",1994-04-14,1622,1855,-12.6
"470",1994-04-15,1923,2183,-11.9
"471",1994-04-16,4198,2127,97.4
"472",1994-04-17,4865,3587,35.6
"473",1994-04-18,2146,2621,-18.1
"474",1994-04-19,2332,1055,121
"475",1994-04-20,2392,1738,37.6
"476",1994-04-21,3364,2208,52.4
"477",1994-04-22,2821,2178,29.5
"478",1994-04-23,4559,2873,58.7
"479",1994-04-24,3782,3399,11.3
"480",1994-04-25,1447,3161,-54.2
"481",1994-04-26,305,2417,-87.4
"482",1994-04-27,1746,2793,-37.5
"483",1994-04-28,1539,2619,-41.2
"484",1994-04-29,1676,2859,-41.4
"485",1994-04-30,3335,1668,99.9
"486",1994-05-01,3450,3164,9
"487",1994-05-02,2402,3736,-35.7
"488",1994-05-03,3040,3340,-9
"489",1994-05-04,3153,3596,-12.3
"490",1994-05-05,2629,2301,14.3
"491",1994-05-06,2955,3481,-15.1
"492",1994-05-07,5413,3477,55.7
"493",1994-05-08,5477,3340,64
"494",1994-05-09,3635,5205,-30.2
"495",1994-05-10,4592,3917,17.2
"496",1994-05-11,4125,3877,6.4
"497",1994-05-12,4271,3870,10.4
"498",1994-05-13,3964,4192,-5.4
"499",1994-05-14,6269,4045,55
"500",1994-05-15,6826,5343,27.8
"501",1994-05-16,5647,5927,-4.7
"502",1994-05-17,5542,4810,15.2
"503",1994-05-18,5904,4918,20
"504",1994-05-19,5625,4818,16.7
"505",1994-05-20,6008,4805,25
"506",1994-05-21,8218,5018,63.8
"507",1994-05-22,9084,6391,42.1
"508",1994-05-23,6986,7002,-0.2
"509",1994-05-24,7527,5874,28.1
"510",1994-05-25,7188,6611,8.7
"511",1994-05-26,7406,6162,20.2
"512",1994-05-27,8777,6193,41.7
"513",1994-05-28,15279,6684,128.6
"514",1994-05-29,18852,14388,31
"515",1994-05-30,13115,16058,-18.3
"516",1994-05-31,9082,11374,-20.2
"517",1994-06-01,9670,8117,19.1
"518",1994-06-02,10574,7759,36.3
"519",1994-06-03,12688,8645,46.8
"520",1994-06-04,13571,12944,4.8
"521",1994-06-05,16226,13581,19.5
"522",1994-06-06,14767,13700,7.8
"523",1994-06-07,14713,13028,12.9
"524",1994-06-08,13482,13068,3.2
"525",1994-06-09,13719,15004,-8.6
"526",1994-06-10,14520,13129,10.6
"527",1994-06-11,17542,13296,31.9
"528",1994-06-12,19162,16196,18.3
"529",1994-06-13,18366,18040,1.8
"530",1994-06-14,18334,18873,-2.9
"531",1994-06-15,17547,16945,3.6
"532",1994-06-16,15130,15442,-2
"533",1994-06-17,17132,14272,20
"534",1994-06-18,16916,13932,21.4
"535",1994-06-19,20331,22602,-10
"536",1994-06-20,21487,19157,12.2
"537",1994-06-21,20519,19445,5.5
"538",1994-06-22,20024,21310,-6
"539",1994-06-23,18601,19032,-2.3
"540",1994-06-24,19213,18150,5.9
"541",1994-06-25,20443,18159,12.6
"542",1994-06-26,21864,20035,9.1
"543",1994-06-27,22373,21121,5.9
"544",1994-06-28,22979,21163,8.6
"545",1994-06-29,20523,21947,-6.5
"546",1994-06-30,18998,20050,-5.2
"547",1994-07-01,21450,19123,12.2
"548",1994-07-02,28929,19508,48.3
"549",1994-07-03,33792,27385,23.4
"550",1994-07-04,32214,31428,2.5
"551",1994-07-05,23222,26738,-13.1
"552",1994-07-06,22650,24648,-8.1
"553",1994-07-07,27476,28908,-5
"554",1994-07-08,27163,23889,13.7
"555",1994-07-09,24944,22931,8.8
"556",1994-07-10,24386,22550,8.1
"557",1994-07-11,27570,25881,6.5
"558",1994-07-12,24281,25037,-3
"559",1994-07-13,25704,25477,0.9
"560",1994-07-14,22277,22744,-2.1
"561",1994-07-15,20359,22298,-8.7
"562",1994-07-16,24336,21264,14.4
"563",1994-07-17,25154,24618,2.2
"564",1994-07-18,27903,26783,4.2
"565",1994-07-19,26760,27831,-3.8
"566",1994-07-20,25735,26587,-3.2
"567",1994-07-21,23413,24716,-5.3
"568",1994-07-22,22816,22831,-0.1
"569",1994-07-23,25843,21929,17.8
"570",1994-07-24,27561,22293,23.6
"571",1994-07-25,27755,27406,1.3
"572",1994-07-26,28821,25261,14.1
"573",1994-07-27,25832,26670,-3.1
"574",1994-07-28,23263,25051,-7.1
"575",1994-07-29,22557,22140,1.9
"576",1994-07-30,24823,21563,15.1
"577",1994-07-31,25851,23475,10.1
"578",1994-08-01,25472,22309,14.2
"579",1994-08-02,25207,24236,4
"580",1994-08-03,25204,27856,-9.5
"581",1994-08-04,22750,23631,-3.7
"582",1994-08-05,21939,22188,-1.1
"583",1994-08-06,24249,19678,23.2
"584",1994-08-07,30058,23886,25.8
"585",1994-08-08,26980,28874,-6.6
"586",1994-08-09,37882,34290,10.5
"587",1994-08-10,32690,35295,-7.4
"588",1994-08-11,30094,32346,-7
"589",1994-08-12,26634,23948,11.2
"590",1994-08-13,25270,26415,-4.3
"591",1994-08-14,23694,24849,-4.6
"592",1994-08-15,23333,21037,10.9
"593",1994-08-16,21792,24990,-12.8
"594",1994-08-17,22755,22729,0.1
"595",1994-08-18,20870,21708,-3.9
"596",1994-08-19,19593,18760,4.4
"597",1994-08-20,20146,18081,11.4
"598",1994-08-21,19709,18525,6.4
"599",1994-08-22,17742,17492,1.4
"600",1994-08-23,17695,16588,6.7
"601",1994-08-24,16616,16041,3.6
"602",1994-08-25,14818,15672,-5.4
"603",1994-08-26,13729,13288,3.3
"604",1994-08-27,14646,13178,11.1
"605",1994-08-28,12618,15147,-16.7
"606",1994-08-29,11565,12009,-3.7
"607",1994-08-30,11108,10544,5.3
"608",1994-08-31,8854,10427,-15.1
"609",1994-09-01,6841,8205,-16.6
"610",1994-09-02,10683,8289,28.9
"611",1994-09-03,17700,9745,81.6
"612",1994-09-04,19042,15668,21.5
"613",1994-09-05,13539,10598,27.8
"614",1994-09-06,8927,12862,-30.6
"615",1994-09-07,9255,8058,14.9
"616",1994-09-08,9294,8307,11.9
"617",1994-09-09,9392,7765,21
"618",1994-09-10,10718,8016,33.7
"619",1994-09-11,10828,10403,4.1
"620",1994-09-12,9752,8950,9
"621",1994-09-13,9829,6871,43.1
"622",1994-09-14,8861,8275,7.1
"623",1994-09-15,7630,7896,-3.4
"624",1994-09-16,8255,7325,12.7
"625",1994-09-17,9587,5670,69.1
"626",1994-09-18,8655,6328,36.8
"627",1994-09-19,8231,8570,-4
"628",1994-09-20,8369,8259,1.3
"629",1994-09-21,6217,6741,-7.8
"630",1994-09-22,6731,6206,8.5
"631",1994-09-23,6961,6892,1
"632",1994-09-24,7560,5616,34.6
"633",1994-09-25,7384,5608,31.7
"634",1994-09-26,5917,5427,9
"635",1994-09-27,5667,5033,12.6
"636",1994-09-28,5222,4679,11.6
"637",1994-09-29,4707,5770,-18.4
"638",1994-09-30,4633,4232,9.5
"639",1994-10-01,3986,4613,-13.6
"640",1994-10-02,5426,5829,-6.9
"641",1994-10-03,3678,6442,-42.9
"642",1994-10-04,4195,5389,-22.2
"643",1994-10-05,5150,4954,4
"644",1994-10-06,2620,4937,-46.9
"645",1994-10-07,4028,3119,29.1
"646",1994-10-08,4718,1713,175.4
"647",1994-10-09,4976,4235,17.5
"648",1994-10-10,4453,5949,-25.1
"649",1994-10-11,3535,3974,-11
"650",1994-10-12,3145,3255,-3.4
"651",1994-10-13,2813,3116,-9.7
"652",1994-10-14,3372,2841,18.7
"653",1994-10-15,2132,2992,-28.7
"654",1994-10-16,2647,2704,-2.1
"655",1994-10-17,1947,3742,-48
"656",1994-10-18,2935,2566,14.4
"657",1994-10-19,2790,2871,-2.8
"658",1994-10-20,3105,2628,18.2
"659",1994-10-21,3017,2587,16.6
"660",1994-10-22,3522,2917,20.7
"661",1994-10-23,2616,3685,-29
"662",1994-10-24,1916,2837,-32.5
"663",1994-10-25,2042,1927,6
"664",1994-10-26,2122,1865,13.8
"665",1994-10-27,1892,1746,8.4
"666",1994-10-28,2358,1475,59.9
"667",1994-10-29,3152,1580,99.5
"668",1994-10-30,2572,2102,22.4
"669",1994-10-31,1217,1653,-26.4
"670",1994-11-01,1258,1047,20.2
"671",1994-11-02,1034,1551,-33.3
"672",1994-11-03,1063,1349,-21.2
"673",1994-11-04,1417,896,58.1
"674",1994-11-05,1874,1113,68.4
"675",1994-11-06,1568,1898,-17.4
"676",1994-11-07,1177,1717,-31.5
"677",1994-11-08,1174,1505,-22
"678",1994-11-09,1266,1205,5.1
"679",1994-11-10,1228,1282,-4.2
"680",1994-11-11,1811,1682,7.7
"681",1994-11-12,1584,985,60.8
"682",1994-11-13,1134,1088,4.2
"683",1994-11-14,942,785,20
"684",1994-11-15,1309,928,41.1
"685",1994-11-16,1193,1247,-4.3
"686",1994-11-17,928,971,-4.4
"687",1994-11-18,839,877,-4.3
"688",1994-11-19,1470,999,47.1
"689",1994-11-20,1250,1642,-23.9
"690",1994-11-21,950,1792,-47
"691",1994-11-22,1144,434,163.6
"692",1994-11-23,1125,526,113.9
"693",1994-11-24,1147,482,138
"694",1994-11-25,2508,396,533.3
"695",1994-11-26,1517,720,110.7
"696",1994-11-27,479,1575,-69.6
"697",1994-11-28,745,962,-22.6
"698",1994-11-29,869,664,30.9
"699",1994-11-30,901,744,21.1
"700",1994-12-01,912,731,24.8
"701",1994-12-02,1039,626,66
"702",1994-12-03,1047,688,52.2
"703",1994-12-04,405,1118,-63.8
"704",1994-12-05,432,466,-7.3
"705",1994-12-06,691,461,49.9
"706",1994-12-07,758,733,3.4
"707",1994-12-08,828,731,13.3
"708",1994-12-09,723,588,23
"709",1994-12-10,685,831,-17.6
"710",1994-12-11,629,928,-32.2
"711",1994-12-12,723,731,-1.1
"712",1994-12-13,845,564,49.8
"713",1994-12-14,610,753,-19
"714",1994-12-15,758,583,30
"715",1994-12-16,969,234,314.1
"716",1994-12-17,785,572,37.2
"717",1994-12-18,891,834,6.8
"718",1994-12-19,850,738,15.2
"719",1994-12-20,899,764,17.7
"720",1994-12-21,855,634,34.9
"721",1994-12-22,1009,572,76.4
"722",1994-12-23,1063,529,100.9
"723",1994-12-24,955,378,152.6
"724",1994-12-25,988,866,14.1
"725",1994-12-26,1757,1471,19.4
