Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Daily Visitation,December 21,855,634,34.9
Daily Visitation,December 22,"1,009",572,76.4
Daily Visitation,December 23,"1,063",529,100.9
Daily Visitation,December 24,955,378,152.6
Daily Visitation,December 25,988,866,14.1
Daily Visitation,December 26,"1,757","1,471",19.4
Daily Visitation,December 27,"2,003","1,047",91.3
Daily Visitation,December 28,"1,930","1,719",12.3
Daily Visitation,December 29,"1,652","1,563",5.7
Daily Visitation,December 30,"1,471","1,725",-14.7
Daily Visitation,December 31,"1,196","1,136",5.3

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"20,957","17,478",19.9,"2,073,910","1,950,200",6.3,"117,180"
Non-Recreation Visitors,"9,415","7,852",19.9,"724,304","683,626",6.0,"48,215"
Total Visitors,"30,372","25,330",19.9,"2,798,214","2,633,826",6.2,"165,396"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,January 1,"1,284","1,288",-0.3
Daily Visitation,January 2,806,993,-18.8
Daily Visitation,January 3,840,684,22.8
Daily Visitation,January 4,724,640,13.1
Daily Visitation,January 5,931,530,75.7
Daily Visitation,January 6,717,551,30.1
Daily Visitation,January 7,830,619,34.1
Daily Visitation,January 8,924,602,53.5
Daily Visitation,January 9,835,717,16.5
Daily Visitation,January 10,880,566,55.5
Daily Visitation,January 11,751,728,3.2
Daily Visitation,January 12,804,662,21.5
Daily Visitation,January 13,789,480,64.4
Daily Visitation,January 14,"1,111",481,131.0
Daily Visitation,January 15,974,593,64.2
Daily Visitation,January 16,677,513,32.0
Daily Visitation,January 17,666,268,148.5
Daily Visitation,January 18,621,480,29.4
Daily Visitation,January 19,650,525,23.8
Daily Visitation,January 20,647,592,9.3
Daily Visitation,January 21,784,823,-4.7
Daily Visitation,January 22,945,"1,473",-35.8
Daily Visitation,January 23,892,"1,008",-11.5
Daily Visitation,January 24,734,538,36.4
Daily Visitation,January 25,812,590,37.6
Daily Visitation,January 26,806,507,59.0
Daily Visitation,January 27,787,552,42.6
Daily Visitation,January 28,"1,106",601,84.0
Daily Visitation,January 29,900,592,52.0
Daily Visitation,January 30,679,432,57.2
Daily Visitation,January 31,956,463,106.5

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"18,111","14,086",28.6,"18,111","14,086",28.6,"135,291"
Non-Recreation Visitors,"7,762","6,037",28.6,"7,762","6,037",28.6,"55,977"
Total Visitors,"25,873","20,123",28.6,"25,873","20,123",28.6,"191,268"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Feb 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,February 1,"1,022",641,59.4
Daily Visitation,February 2,991,548,80.8
Daily Visitation,February 3,"1,310",669,95.8
Daily Visitation,February 4,"1,708",912,87.3
Daily Visitation,February 5,"1,621","1,551",4.5
Daily Visitation,February 6,840,993,-15.4
Daily Visitation,February 7,"1,010",554,82.3
Daily Visitation,February 8,845,487,73.5
Daily Visitation,February 9,"1,083",665,62.9
Daily Visitation,February 10,921,579,59.1
Daily Visitation,February 11,996,756,31.7
Daily Visitation,February 12,977,"1,324",-26.2
Daily Visitation,February 13,698,"1,352",-48.4
Daily Visitation,February 14,632,834,-24.2
Daily Visitation,February 15,752,"1,156",-34.9
Daily Visitation,February 16,842,917,-8.2
Daily Visitation,February 17,"1,132","1,027",10.2
Daily Visitation,February 18,"2,117","1,161",82.3
Daily Visitation,February 19,"2,919","1,437",103.1
Daily Visitation,February 20,"2,012","1,358",48.2
Daily Visitation,February 21,"1,587",736,115.6
Daily Visitation,February 22,"1,320",596,121.5
Daily Visitation,February 23,"1,192",670,77.9
Daily Visitation,February 24,"1,397",565,147.3
Daily Visitation,February 25,"3,354",747,349.0
Daily Visitation,February 26,"1,923","1,355",41.9
Daily Visitation,February 27,728,"1,396",-47.9
Daily Visitation,February 28,604,819,-26.3
Daily Visitation,February 29,-182,-182,0.0
Daily Visitation,February 30,-182,-182,0.0
Daily Visitation,February 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"23,286","16,319",42.7,"41,397","30,405",36.2,"158,578"
Non-Recreation Visitors,"13,099","9,179",42.7,"20,860","15,216",37.1,"69,076"
Total Visitors,"36,385","25,498",42.7,"62,258","45,621",36.5,"227,653"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Mar 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,March 1,857,988,-13.3
Daily Visitation,March 2,918,"1,271",-27.8
Daily Visitation,March 3,"1,075","1,660",-35.2
Daily Visitation,March 4,462,"2,342",-80.3
Daily Visitation,March 5,766,"2,730",-71.9
Daily Visitation,March 6,889,"1,240",-28.3
Daily Visitation,March 7,777,947,-18.0
Daily Visitation,March 8,947,"1,262",-25.0
Daily Visitation,March 9,"1,549","1,346",15.1
Daily Visitation,March 10,"2,016","1,436",40.4
Daily Visitation,March 11,"3,032","1,642",84.7
Daily Visitation,March 12,"1,920","2,646",-27.4
Daily Visitation,March 13,"1,626","3,626",-55.2
Daily Visitation,March 14,"1,747","1,436",21.7
Daily Visitation,March 15,"1,758","1,691",4.0
Daily Visitation,March 16,"1,668","1,562",6.8
Daily Visitation,March 17,"1,296","1,638",-20.9
Daily Visitation,March 18,"3,394","2,755",23.2
Daily Visitation,March 19,"2,295","3,964",-42.1
Daily Visitation,March 20,"1,965","2,735",-28.2
Daily Visitation,March 21,"2,159","2,124",1.6
Daily Visitation,March 22,"1,909","1,691",12.9
Daily Visitation,March 23,"2,080","1,170",77.8
Daily Visitation,March 24,"1,982","1,755",12.9
Daily Visitation,March 25,"3,038","1,680",80.8
Daily Visitation,March 26,"1,313","2,275",-42.3
Daily Visitation,March 27,"1,441","1,706",-15.5
Daily Visitation,March 28,"1,699","1,411",20.4
Daily Visitation,March 29,"1,703","1,374",23.9
Daily Visitation,March 30,"1,812","2,080",-12.9
Daily Visitation,March 31,"2,198","2,447",-10.2

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"35,052","39,454",-11.2,"76,449","69,858",9.4,"193,630"
Non-Recreation Visitors,"17,264","19,432",-11.2,"38,125","34,649",10.0,"86,340"
Total Visitors,"52,316","58,886",-11.2,"114,574","104,507",9.6,"279,970"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Apr 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,April 1,"2,778","3,332",-16.6
Daily Visitation,April 2,"2,273","3,931",-42.2
Daily Visitation,April 3,"1,684","5,170",-67.4
Daily Visitation,April 4,"1,998",677,195.1
Daily Visitation,April 5,"1,792","1,842",-2.7
Daily Visitation,April 6,"2,409","1,910",26.1
Daily Visitation,April 7,"3,000","1,605",86.9
Daily Visitation,April 8,"1,938","1,649",17.5
Daily Visitation,April 9,"1,044","3,196",-67.3
Daily Visitation,April 10,693,"2,367",-70.7
Daily Visitation,April 11,464,"1,767",-73.7
Daily Visitation,April 12,"1,636","1,914",-14.5
Daily Visitation,April 13,"2,720","2,232",21.9
Daily Visitation,April 14,"3,136","1,622",93.3
Daily Visitation,April 15,"3,614","1,923",87.9
Daily Visitation,April 16,"2,335","4,198",-44.4
Daily Visitation,April 17,"1,420","4,865",-70.8
Daily Visitation,April 18,"1,198","2,146",-44.2
Daily Visitation,April 19,"1,844","2,332",-20.9
Daily Visitation,April 20,"1,740","2,392",-27.3
Daily Visitation,April 21,"2,243","3,364",-33.3
Daily Visitation,April 22,"3,876","2,821",37.4
Daily Visitation,April 23,"2,796","4,559",-38.7
Daily Visitation,April 24,"2,410","3,782",-36.3
Daily Visitation,April 25,"2,065","1,447",42.7
Daily Visitation,April 26,"2,374",305,678.4
Daily Visitation,April 27,"2,578","1,746",47.7
Daily Visitation,April 28,"2,270","1,539",47.5
Daily Visitation,April 29,"2,520","1,676",50.4
Daily Visitation,April 30,"1,789","3,335",-46.4
Daily Visitation,April 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"40,746","47,872",-14.9,"117,195","117,731",-0.5,"234,375"
Non-Recreation Visitors,"23,930","28,115",-14.9,"62,055","62,764",-1.1,"110,270"
Total Visitors,"64,676","75,987",-14.9,"179,250","180,494",-0.7,"344,645"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: May 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,May 1,"2,574","3,450",-25.4
Daily Visitation,May 2,"2,560","2,402",6.6
Daily Visitation,May 3,"2,673","3,040",-12.1
Daily Visitation,May 4,"3,190","3,153",1.2
Daily Visitation,May 5,"2,808","2,629",6.8
Daily Visitation,May 6,"3,287","2,955",11.2
Daily Visitation,May 7,"4,010","5,413",-25.9
Daily Visitation,May 8,"1,788","5,477",-67.4
Daily Visitation,May 9,"2,688","3,635",-26.1
Daily Visitation,May 10,"4,161","4,592",-9.4
Daily Visitation,May 11,"3,951","4,125",-4.2
Daily Visitation,May 12,"3,880","4,271",-9.2
Daily Visitation,May 13,"3,384","3,964",-14.6
Daily Visitation,May 14,"6,733","6,269",7.4
Daily Visitation,May 15,"5,189","6,826",-24.0
Daily Visitation,May 16,"5,212","5,647",-7.7
Daily Visitation,May 17,"6,000","5,542",8.3
Daily Visitation,May 18,"5,433","5,904",-8.0
Daily Visitation,May 19,"5,308","5,625",-5.6
Daily Visitation,May 20,"7,125","6,008",18.6
Daily Visitation,May 21,"8,033","8,218",-2.3
Daily Visitation,May 22,"6,258","9,084",-31.1
Daily Visitation,May 23,"6,712","6,986",-3.9
Daily Visitation,May 24,"7,438","7,527",-1.2
Daily Visitation,May 25,"6,116","7,188",-14.9
Daily Visitation,May 26,"7,411","7,406",0.1
Daily Visitation,May 27,"10,249","8,777",16.8
Daily Visitation,May 28,"17,694","15,279",15.8
Daily Visitation,May 29,"13,166","18,852",-30.2
Daily Visitation,May 30,"8,337","13,115",-36.4
Daily Visitation,May 31,"8,180","9,082",-9.9

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"138,213","154,627",-10.6,"255,408","272,357",-6.2,"372,589"
Non-Recreation Visitors,"43,646","48,829",-10.6,"105,701","111,593",-5.3,"153,916"
Total Visitors,"181,860","203,456",-10.6,"361,110","383,951",-5.9,"526,505"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jun 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,June 1,"9,527","9,670",-1.5
Daily Visitation,June 2,"10,764","10,574",1.8
Daily Visitation,June 3,"12,492","12,688",-1.5
Daily Visitation,June 4,"13,454","13,571",-0.9
Daily Visitation,June 5,"14,913","16,226",-8.1
Daily Visitation,June 6,"14,927","14,767",1.1
Daily Visitation,June 7,"11,683","14,713",-20.6
Daily Visitation,June 8,"10,506","13,482",-22.1
Daily Visitation,June 9,"8,859","13,719",-35.4
Daily Visitation,June 10,"16,033","14,520",10.4
Daily Visitation,June 11,"18,059","17,542",2.9
Daily Visitation,June 12,"18,930","19,162",-1.2
Daily Visitation,June 13,"18,341","18,366",-0.1
Daily Visitation,June 14,"16,136","18,334",-12.0
Daily Visitation,June 15,"15,868","17,547",-9.6
Daily Visitation,June 16,"14,973","15,130",-1.0
Daily Visitation,June 17,"16,283","17,132",-5.0
Daily Visitation,June 18,"19,063","16,916",12.7
Daily Visitation,June 19,"19,630","20,331",-3.4
Daily Visitation,June 20,"20,979","21,487",-2.4
Daily Visitation,June 21,"17,586","20,519",-14.3
Daily Visitation,June 22,"17,958","20,024",-10.3
Daily Visitation,June 23,"17,226","18,601",-7.4
Daily Visitation,June 24,"18,641","19,213",-3.0
Daily Visitation,June 25,"22,217","20,443",8.7
Daily Visitation,June 26,"23,229","21,864",6.2
Daily Visitation,June 27,"21,604","22,373",-3.4
Daily Visitation,June 28,"16,451","22,979",-28.4
Daily Visitation,June 29,"15,470","20,523",-24.6
Daily Visitation,June 30,"18,549","18,998",-2.4
Daily Visitation,June 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"353,089","375,527",-6.0,"608,497","647,884",-6.1,"725,677"
Non-Recreation Visitors,"137,312","146,038",-6.0,"243,013","257,632",-5.7,"291,229"
Total Visitors,"490,401","521,565",-6.0,"851,510","905,516",-6.0,"1,016,906"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jul 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,July 1,"25,659","21,450",19.6
Daily Visitation,July 2,"31,495","28,929",8.9
Daily Visitation,July 3,"27,616","33,792",-18.3
Daily Visitation,July 4,"27,372","32,214",-15.0
Daily Visitation,July 5,"22,720","23,222",-2.2
Daily Visitation,July 6,"24,930","22,650",10.1
Daily Visitation,July 7,"24,893","27,476",-9.4
Daily Visitation,July 8,"25,816","27,163",-5.0
Daily Visitation,July 9,"24,756","24,944",-0.8
Daily Visitation,July 10,"26,986","24,386",10.7
Daily Visitation,July 11,"27,693","27,570",0.4
Daily Visitation,July 12,"24,640","24,281",1.5
Daily Visitation,July 13,"21,683","25,704",-15.6
Daily Visitation,July 14,"20,350","22,277",-8.7
Daily Visitation,July 15,"22,121","20,359",8.7
Daily Visitation,July 16,"25,083","24,336",3.1
Daily Visitation,July 17,"26,157","25,154",4.0
Daily Visitation,July 18,"23,882","27,903",-14.4
Daily Visitation,July 19,"25,604","26,760",-4.3
Daily Visitation,July 20,"22,720","25,735",-11.7
Daily Visitation,July 21,"21,167","23,413",-9.6
Daily Visitation,July 22,"23,762","22,816",4.1
Daily Visitation,July 23,"25,850","25,843",0.0
Daily Visitation,July 24,"26,465","27,561",-4.0
Daily Visitation,July 25,"26,845","27,755",-3.3
Daily Visitation,July 26,"24,794","28,821",-14.0
Daily Visitation,July 27,"22,857","25,832",-11.5
Daily Visitation,July 28,"22,426","23,263",-3.6
Daily Visitation,July 29,"24,065","22,557",6.7
Daily Visitation,July 30,"23,512","24,823",-5.3
Daily Visitation,July 31,"25,234","25,851",-2.4

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"569,253","588,342",-3.2,"1,177,750","1,236,226",-4.7,"1,294,930"
Non-Recreation Visitors,"200,008","206,715",-3.2,"443,021","464,346",-4.6,"491,236"
Total Visitors,"769,261","795,057",-3.2,"1,620,771","1,700,573",-4.7,"1,786,167"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Aug 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,August 1,"24,420","25,472",-4.1
Daily Visitation,August 2,"23,276","25,207",-7.7
Daily Visitation,August 3,"21,651","25,204",-14.1
Daily Visitation,August 4,"20,101","22,750",-11.6
Daily Visitation,August 5,"26,990","21,939",23.0
Daily Visitation,August 6,"30,487","24,249",25.7
Daily Visitation,August 7,"33,303","30,058",10.8
Daily Visitation,August 8,"32,637","26,980",21.0
Daily Visitation,August 9,"30,968","37,882",-18.3
Daily Visitation,August 10,"27,385","32,690",-16.2
Daily Visitation,August 11,"24,905","30,094",-17.2
Daily Visitation,August 12,"22,758","26,634",-14.6
Daily Visitation,August 13,"22,723","25,270",-10.1
Daily Visitation,August 14,"22,606","23,694",-4.6
Daily Visitation,August 15,"23,072","23,333",-1.1
Daily Visitation,August 16,"22,150","21,792",1.6
Daily Visitation,August 17,"20,224","22,755",-11.1
Daily Visitation,August 18,"18,804","20,870",-9.9
Daily Visitation,August 19,"19,547","19,593",-0.2
Daily Visitation,August 20,"18,368","20,146",-8.8
Daily Visitation,August 21,"18,692","19,709",-5.2
Daily Visitation,August 22,"17,345","17,742",-2.2
Daily Visitation,August 23,"16,981","17,695",-4.0
Daily Visitation,August 24,"14,342","16,616",-13.7
Daily Visitation,August 25,"13,252","14,818",-10.6
Daily Visitation,August 26,"14,715","13,729",7.2
Daily Visitation,August 27,"13,697","14,646",-6.5
Daily Visitation,August 28,"11,363","12,618",-9.9
Daily Visitation,August 29,"15,956","11,565",38.0
Daily Visitation,August 30,"11,829","11,108",6.5
Daily Visitation,August 31,"10,545","8,854",19.1

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"470,917","486,046",-3.1,"1,648,667","1,722,273",-4.3,"1,765,847"
Non-Recreation Visitors,"174,175","179,771",-3.1,"617,196","644,117",-4.2,"665,411"
Total Visitors,"645,092","665,817",-3.1,"2,265,863","2,366,390",-4.2,"2,431,259"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Sep 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,September 1,"9,953","6,841",45.5
Daily Visitation,September 2,"15,980","10,683",49.6
Daily Visitation,September 3,"17,803","17,700",0.6
Daily Visitation,September 4,"12,472","19,042",-34.5
Daily Visitation,September 5,"8,629","13,539",-36.3
Daily Visitation,September 6,"8,704","8,927",-2.5
Daily Visitation,September 7,"8,192","9,255",-11.5
Daily Visitation,September 8,"9,541","9,294",2.7
Daily Visitation,September 9,"10,247","9,392",9.1
Daily Visitation,September 10,"12,100","10,718",12.9
Daily Visitation,September 11,"9,649","10,828",-10.9
Daily Visitation,September 12,"9,811","9,752",0.6
Daily Visitation,September 13,"9,528","9,829",-3.1
Daily Visitation,September 14,"7,841","8,861",-11.5
Daily Visitation,September 15,"8,660","7,630",13.5
Daily Visitation,September 16,"9,390","8,255",13.7
Daily Visitation,September 17,"8,644","9,587",-9.8
Daily Visitation,September 18,"7,686","8,655",-11.2
Daily Visitation,September 19,"6,977","8,231",-15.2
Daily Visitation,September 20,"7,487","8,369",-10.5
Daily Visitation,September 21,"7,145","6,217",14.9
Daily Visitation,September 22,"6,425","6,731",-4.5
Daily Visitation,September 23,"6,428","6,961",-7.7
Daily Visitation,September 24,"6,428","7,560",-15.0
Daily Visitation,September 25,"6,139","7,384",-16.9
Daily Visitation,September 26,"6,187","5,917",4.6
Daily Visitation,September 27,"5,836","5,667",3.0
Daily Visitation,September 28,"5,086","5,222",-2.6
Daily Visitation,September 29,"5,726","4,707",21.6
Daily Visitation,September 30,"5,557","4,633",19.9
Daily Visitation,September 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"229,027","234,458",-2.3,"1,877,694","1,956,730",-4.0,"1,994,874"
Non-Recreation Visitors,"31,231","31,971",-2.3,"648,427","676,089",-4.1,"696,642"
Total Visitors,"260,258","266,429",-2.3,"2,526,121","2,632,819",-4.1,"2,691,517"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Oct 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,October 1,"6,195","3,986",55.4
Daily Visitation,October 2,"4,704","5,426",-13.3
Daily Visitation,October 3,"4,788","3,678",30.2
Daily Visitation,October 4,"3,319","4,195",-20.9
Daily Visitation,October 5,"3,110","5,150",-39.6
Daily Visitation,October 6,"4,334","2,620",65.4
Daily Visitation,October 7,"4,879","4,028",21.1
Daily Visitation,October 8,"4,854","4,718",2.9
Daily Visitation,October 9,"4,360","4,976",-12.4
Daily Visitation,October 10,"4,235","4,453",-4.9
Daily Visitation,October 11,"3,797","3,535",7.4
Daily Visitation,October 12,"3,397","3,145",8.0
Daily Visitation,October 13,"3,103","2,813",10.3
Daily Visitation,October 14,"3,681","3,372",9.2
Daily Visitation,October 15,"3,877","2,132",81.8
Daily Visitation,October 16,"3,124","2,647",18.0
Daily Visitation,October 17,"2,991","1,947",53.6
Daily Visitation,October 18,"3,055","2,935",4.1
Daily Visitation,October 19,"2,790","2,790",0.0
Daily Visitation,October 20,"4,146","3,105",33.5
Daily Visitation,October 21,"3,805","3,017",26.1
Daily Visitation,October 22,642,"3,522",-81.8
Daily Visitation,October 23,"1,837","2,616",-29.8
Daily Visitation,October 24,"2,066","1,916",7.8
Daily Visitation,October 25,"2,022","2,042",-1.0
Daily Visitation,October 26,"2,350","2,122",10.7
Daily Visitation,October 27,"2,230","1,892",17.9
Daily Visitation,October 28,"2,920","2,358",23.8
Daily Visitation,October 29,"1,270","3,152",-59.7
Daily Visitation,October 30,895,"2,572",-65.2
Daily Visitation,October 31,900,"1,217",-26.0

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"73,768","72,583",1.6,"1,951,462","2,029,313",-3.8,"73,768"
Non-Recreation Visitors,"25,918","25,502",1.6,"674,345","701,591",-3.9,"25,918"
Total Visitors,"99,686","98,086",1.6,"2,625,807","2,730,904",-3.8,"99,686"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Nov 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,November 1,"1,212","1,258",-3.7
Daily Visitation,November 2,"1,144","1,034",10.6
Daily Visitation,November 3,"1,374","1,063",29.3
Daily Visitation,November 4,"1,784","1,417",25.9
Daily Visitation,November 5,"1,779","1,874",-5.1
Daily Visitation,November 6,"1,252","1,568",-20.2
Daily Visitation,November 7,"1,115","1,177",-5.3
Daily Visitation,November 8,"1,188","1,174",1.2
Daily Visitation,November 9,"1,452","1,266",14.7
Daily Visitation,November 10,"1,382","1,228",12.5
Daily Visitation,November 11,"1,719","1,811",-5.1
Daily Visitation,November 12,"1,649","1,584",4.1
Daily Visitation,November 13,"1,196","1,134",5.5
Daily Visitation,November 14,"1,325",942,40.7
Daily Visitation,November 15,"1,190","1,309",-9.1
Daily Visitation,November 16,"1,387","1,193",16.3
Daily Visitation,November 17,"1,711",928,84.4
Daily Visitation,November 18,"2,057",839,145.2
Daily Visitation,November 19,"1,738","1,470",18.2
Daily Visitation,November 20,"1,414","1,250",13.1
Daily Visitation,November 21,"1,142",950,20.2
Daily Visitation,November 22,"1,503","1,144",31.4
Daily Visitation,November 23,"2,219","1,125",97.2
Daily Visitation,November 24,"3,466","1,147",202.2
Daily Visitation,November 25,"2,700","2,508",7.7
Daily Visitation,November 26,925,"1,517",-39.0
Daily Visitation,November 27,691,479,44.3
Daily Visitation,November 28,834,745,11.9
Daily Visitation,November 29,801,869,-7.8
Daily Visitation,November 30,993,901,10.2
Daily Visitation,November 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"28,389","23,640",20.1,"1,979,850","2,052,954",-3.6,"102,156"
Non-Recreation Visitors,"15,969","13,298",20.1,"690,314","714,888",-3.4,"41,887"
Total Visitors,"44,357","36,938",20.1,"2,670,164","2,767,842",-3.5,"144,043"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Dec 1995,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,December 1,966,912,5.9
Daily Visitation,December 2,"1,233","1,039",18.7
Daily Visitation,December 3,"1,063","1,047",1.5
Daily Visitation,December 4,874,405,115.8
Daily Visitation,December 5,804,432,86.1
Daily Visitation,December 6,666,691,-3.6
Daily Visitation,December 7,847,758,11.7
Daily Visitation,December 8,610,828,-26.3
Daily Visitation,December 9,399,723,-44.8
Daily Visitation,December 10,577,685,-15.8
Daily Visitation,December 11,564,629,-10.3
Daily Visitation,December 12,607,723,-16.0
Daily Visitation,December 13,691,845,-18.2
Daily Visitation,December 14,750,610,23.0
Daily Visitation,December 15,934,758,23.2
Daily Visitation,December 16,885,969,-8.7
Daily Visitation,December 17,480,785,-38.9
Daily Visitation,December 18,607,891,-31.9
Daily Visitation,December 19,947,850,11.4
Daily Visitation,December 20,696,899,-22.6
Daily Visitation,December 21,901,855,5.4
Daily Visitation,December 22,693,"1,009",-31.3
Daily Visitation,December 23,550,"1,063",-48.3
Daily Visitation,December 24,504,955,-47.2
Daily Visitation,December 25,591,988,-40.2
Daily Visitation,December 26,"1,247","1,757",-29.0
Daily Visitation,December 27,"1,239","2,003",-38.1
Daily Visitation,December 28,"1,522","1,930",-21.1
Daily Visitation,December 29,"1,431","1,652",-13.4
Daily Visitation,December 30,"1,463","1,471",-0.5
Daily Visitation,December 31,772,"1,196",-35.5

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"18,030","20,957",-14.0,"1,997,881","2,073,910",-3.7,"120,186"
Non-Recreation Visitors,"8,100","9,415",-14.0,"698,414","724,304",-3.6,"49,988"
Total Visitors,"26,131","30,372",-14.0,"2,696,295","2,798,214",-3.6,"170,174"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1996,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,January 1,508,"1,284",-60.4
Daily Visitation,January 2,667,806,-17.2
Daily Visitation,January 3,475,840,-43.5
Daily Visitation,January 4,612,724,-15.5
Daily Visitation,January 5,511,931,-45.1
Daily Visitation,January 6,609,717,-15.1
Daily Visitation,January 7,684,830,-17.6
