Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Daily Visitation,March 31,"1,237",0,Infinity

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"30,396",,0.0,"57,450",,0.0,"57,450"
Non-Recreation Visitors,"14,971",,0.0,"28,522",,0.0,"28,522"
Total Visitors,"45,367",,0.0,"85,972",,0.0,"85,972"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Apr 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,April 1,"1,463",0,Infinity
Daily Visitation,April 2,"1,679",0,Infinity
Daily Visitation,April 3,"2,828",0,Infinity
Daily Visitation,April 4,"3,283",0,Infinity
Daily Visitation,April 5,"2,078",0,Infinity
Daily Visitation,April 6,901,0,Infinity
Daily Visitation,April 7,"1,543",0,Infinity
Daily Visitation,April 8,"2,012",0,Infinity
Daily Visitation,April 9,"3,150",0,Infinity
Daily Visitation,April 10,"3,808",0,Infinity
Daily Visitation,April 11,"3,923",0,Infinity
Daily Visitation,April 12,"1,385",0,Infinity
Daily Visitation,April 13,"1,095",0,Infinity
Daily Visitation,April 14,"1,855",0,Infinity
Daily Visitation,April 15,"2,183",0,Infinity
Daily Visitation,April 16,"2,127",0,Infinity
Daily Visitation,April 17,"3,587",0,Infinity
Daily Visitation,April 18,"2,621",0,Infinity
Daily Visitation,April 19,"1,055",0,Infinity
Daily Visitation,April 20,"1,738",0,Infinity
Daily Visitation,April 21,"2,208",0,Infinity
Daily Visitation,April 22,"2,178",0,Infinity
Daily Visitation,April 23,"2,873",0,Infinity
Daily Visitation,April 24,"3,399",0,Infinity
Daily Visitation,April 25,"3,161",0,Infinity
Daily Visitation,April 26,"2,417",0,Infinity
Daily Visitation,April 27,"2,793",0,Infinity
Daily Visitation,April 28,"2,619",0,Infinity
Daily Visitation,April 29,"2,859",0,Infinity
Daily Visitation,April 30,"1,668",0,Infinity
Daily Visitation,April 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"44,450",,0.0,"101,900",,0.0,"101,900"
Non-Recreation Visitors,"26,105",,0.0,"54,628",,0.0,"54,628"
Total Visitors,"70,555",,0.0,"156,527",,0.0,"156,527"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: May 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,May 1,"3,164",0,Infinity
Daily Visitation,May 2,"3,736",0,Infinity
Daily Visitation,May 3,"3,340",0,Infinity
Daily Visitation,May 4,"3,596",0,Infinity
Daily Visitation,May 5,"2,301",0,Infinity
Daily Visitation,May 6,"3,481",0,Infinity
